,행정동명,월생활인구수,일생활인구수,dong,convenience_count,restroom_count,sports_count,tour_count,food_count,culture_count,subway_count
0,개포동,407.63892,13.58797,개포동,39,26,69,5.0,270,1.0,0.0
1,논현동,644.65914,21.48864,논현동,121,20,172,44.0,2045,12.0,3.0
2,대치동,862.82873,28.76095,대치동,99,23,161,15.0,1152,4.0,2.0
3,도곡동,474.15568,15.80519,도곡동,38,16,71,1.0,368,2.0,2.0
4,삼성동,583.99537,19.46651,삼성동,88,27,106,39.0,972,6.0,6.0
5,세곡동,326.2406,10.87469,세곡동,25,8,10,0.0,97,0.0,0.0
6,수서동,164.57392,5.4858,수서동,15,9,23,0.0,123,0.0,1.0
7,신사동,264.60904,8.8203,신사동,66,13,117,30.0,1548,10.0,2.0
8,압구정동,311.07504,10.36917,압구정동,8,10,11,0.0,94,0.0,0.0
9,역삼동,1170.121,39.00403,역삼동,203,29,252,97.0,2694,7.0,2.0
10,일원동,400.22973,13.34099,일원동,23,14,39,3.0,152,1.0,2.0
11,청담동,308.09127,10.26971,청담동,49,9,107,18.0,856,4.0,1.0
