,address,lat,lng,food_500,convenience_500,hospital_500,sports_500,tour_500,restroom_500,culture_500,dong,s_dong,population,population_day,pop_of_convenience,pop_of_restroom,pop_of_sports,pop_of_tour,pop_of_food,pop_of_culture,pop_of_hospital
0,대한민국 서울특별시 논현동 22번지 논현아파트 상가 112호 늑대와여우컴퓨터 강남구 서울특별시 KR,37.51475805172928,127.02319299074472,440,31,276,29,16,13,5,논현,논현동,644.65914,21.48864,1.4426227066952586,0.6049708124851084,1.3495502740052419,0.7445794615201334,20.475935191803668,0.2326810817250417,12.843995711222302
1,대한민국 서울특별시 강남구 청담동 79-18,37.52697806437052,127.04284737765111,667,18,202,42,3,7,3,청담,청담동,308.09127,10.26971,1.7527271948282863,0.6816161313221113,4.089696787932668,0.29212119913804774,64.9482799416926,0.29212119913804774,19.669494075295212
2,대한민국 서울특별시 강남구 세곡동 159-2,37.46285895019168,127.1082742474284,22,1,9,6,0,2,0,세곡,세곡동,326.2406,10.87469,0.09195664428135424,0.18391328856270847,0.5517398656881254,0.0,2.023046174189793,0.0,0.8276097985321881
3,대한민국 서울특별시 대청역,37.49278687061403,127.07880120973634,97,13,68,24,0,7,0,일원,일원동,400.22973,13.34099,0.9744404275844597,0.5246986917762475,1.7989669432328486,0.0,7.27082472889943,0.0,5.097073005826404
4,대한민국 서울특별시 강남구 도곡동 934-10,37.48867406420676,127.03691389214735,244,22,92,46,3,15,0,강남,도곡동,474.15568,15.80519,1.3919478348567782,0.9490553419478033,2.9104363819732635,0.18981106838956066,15.437966895684266,0.0,5.820872763946527
5,대한민국 서울특별시 강남구 일원동 702-7,37.488556220806174,127.08123111198825,101,8,56,23,0,2,1,일원,일원동,400.22973,13.34099,0.5996556477442828,0.1499139119360707,1.7240099872648131,0.0,7.570652552771571,0.07495695596803535,4.19758953420998
6,대한민국 서울특별시 강남구 도곡로 505,37.49954049933952,127.06154395596307,244,25,83,56,0,3,1,대치,대치동,862.82873,28.76095,0.8692341525575477,0.10430809830690571,1.9470845017289067,0.0,8.483725328961665,0.034769366102301906,2.885857386491058
7,대한민국 서울특별시 강남구 대치동 1-14,37.49936673619561,127.07920113738554,0,3,2,3,0,5,0,대치,대치동,862.82873,28.76095,0.10430809830690571,0.1738468305115095,0.10430809830690571,0.0,0.0,0.0,0.06953873220460381
8,대한민국 서울특별시 강남구 논현2동 279-70,37.51690143435468,127.03982196030933,385,26,151,49,4,6,0,논현,논현동,644.65914,21.48864,1.2099416249702168,0.27921729807005,2.2802746009054085,0.18614486538003336,17.91644329282821,0.0,7.026968668096259
9,대한민국 서울특별시 강남구 봉은사로 2층,37.5130445440729,127.05879398445435,406,25,86,34,11,6,2,강남,삼성동,583.99537,19.46651,1.284256910971715,0.3082216586332116,1.7465893989215324,0.5650730408275546,20.856332234180652,0.1027405528777372,4.4178437737427
10,대한민국 서울특별시 강남구 세곡동 산51-1,37.46723932873989,127.09029795151488,3,3,3,0,0,0,0,세곡,세곡동,326.2406,10.87469,0.2758699328440627,0.0,0.0,0.0,0.2758699328440627,0.0,0.2758699328440627
11,대한민국 서울특별시 강남구 개포동 산142-3,37.48044797892815,127.06663910546176,16,2,15,4,3,1,0,개포,개포동,407.63892,13.58797,0.14718902087655478,0.07359451043827739,0.29437804175310955,0.22078353131483217,1.1775121670124382,0.0,1.1039176565741609
12,대한민국 서울특별시 강남구 봉은사로26길 22-18,37.50475537633454,127.0326643667557,473,46,103,48,26,7,0,역삼,역삼동,1170.121,39.00403,1.1793653117382998,0.17946863439495866,1.2306420644225737,0.6665977848955608,12.126952009830779,0.0,2.640752763240106
13,대한민국 서울특별시 강남구 선릉로127길 12,37.5155539697171,127.04075265678766,363,24,142,49,5,4,0,강남,논현동,644.65914,21.48864,1.1168691922802,0.18614486538003336,2.2802746009054085,0.2326810817250417,16.892646533238025,0.0,6.608142720991184
14,대한민국 서울특별시 강남구 청담동 66 청담근린공원,37.521518106527104,127.05243113845027,300,26,121,51,11,4,1,강남,청담동,308.09127,10.26971,2.5317170591964135,0.3894949321840636,4.966060385346811,1.071111063506175,29.212119913804774,0.0973737330460159,11.782221698567925
15,대한민국 서울특별시 강남구 논현동 35-4,37.515905062621535,127.02821138681594,349,33,100,51,22,7,3,논현,논현동,644.65914,21.48864,1.5356951393852751,0.3257535144150584,2.3733470335954254,1.0237967595901833,16.24113950440791,0.139608649035025,4.653621634500834
16,대한민국 서울특별시 강남구 대치동 1011-62,37.49938563048024,127.05388847989312,429,35,145,57,1,3,1,강남,대치동,862.82873,28.76095,1.2169278135805666,0.10430809830690571,1.9818538678312085,0.034769366102301906,14.916058057887517,0.034769366102301906,5.041558084833776
17,대한민국 서울특별시 현대아파트,37.52885514388205,127.03110618637592,348,19,255,46,4,8,2,압구,압구정동,311.07504,10.36917,1.8323549522285776,0.7715178746225589,4.436227779079714,0.38575893731127947,33.56102754608131,0.19287946865563974,24.592132253594066
18,대한민국 서울특별시 강남구 개포동 660-10,37.48094567442752,127.05994111626303,50,3,27,12,1,4,0,개포,개포동,407.63892,13.58797,0.22078353131483217,0.29437804175310955,0.8831341252593287,0.07359451043827739,3.6797255219138694,0.0,1.9870517818334894
19,대한민국 서울특별시 강남구 논현동 82-15,37.51561797586215,127.03226221072572,413,30,93,48,11,8,2,강남,논현동,644.65914,21.48864,1.3960864903502501,0.3722897307600667,2.2337383845604,0.5118983797950917,19.219457350488444,0.09307243269001668,4.327868120085776
20,대한민국 서울특별시 강남구 대치동 1027-3,37.49363413099918,127.05605635846952,104,17,97,22,0,7,0,강남,대치동,862.82873,28.76095,0.5910792237391324,0.24338556271611334,0.7649260542506419,0.0,3.616014074639398,0.0,3.372628511923285
21,대한민국 서울특별시 강남구 신사동 557-27,37.521169802753725,127.0260095582004,812,34,370,60,29,4,6,신사,신사동,264.60904,8.8203,3.8547441696994436,0.4534993140822875,6.802489711234312,3.2878700270965844,92.06036075870436,0.6802489711234312,41.94868655261159
22,대한민국 서울특별시 강남구 대치동 507-3번지,37.49290770641264,127.06294552666834,79,11,95,20,0,2,1,대치,대치동,862.82873,28.76095,0.38246302712532093,0.06953873220460381,0.695387322046038,0.0,2.7467799220818505,0.034769366102301906,3.303089779718681
23,대한민국 서울특별시 강남구 대치동 74,37.50114749093521,127.07112752601816,25,4,7,10,0,4,0,대치,대치동,862.82873,28.76095,0.13907746440920762,0.13907746440920762,0.347693661023019,0.0,0.8692341525575477,0.0,0.24338556271611334
24,대한민국 서울특별시 강남구 대치동 27-14,37.50003922884826,127.07332276611258,17,7,7,6,0,7,0,대치,대치동,862.82873,28.76095,0.24338556271611334,0.24338556271611334,0.20861619661381142,0.0,0.5910792237391324,0.0,0.24338556271611334
25,대한민국 서울특별시 강남구 압구정동 456-1,37.531484581477145,127.02966354805858,73,6,66,15,0,6,1,강남,압구정동,311.07504,10.36917,0.5786384059669192,0.5786384059669192,1.446596014917298,0.0,7.04010060593085,0.09643973432781987,6.365022465636112
26,대한민국 서울특별시 강남구 언주로114길 15-5,37.51052009278245,127.03870216167816,481,33,78,46,3,7,1,논현,논현동,644.65914,21.48864,1.5356951393852751,0.3257535144150584,2.1406659518703837,0.139608649035025,22.38392006194901,0.04653621634500834,3.6298248749106503
27,대한민국 서울특별시 강남구 율현동 102-6,37.47135083941281,127.118008082865,12,1,0,2,0,1,0,율현,세곡동,326.2406,10.87469,0.09195664428135424,0.09195664428135424,0.18391328856270847,0.0,1.1034797313762508,0.0,0.0
28,대한민국 서울특별시 강남구 개포동 187,37.48790343785946,127.06810966099654,43,5,38,17,0,8,0,개포,개포동,407.63892,13.58797,0.3679725521913869,0.5887560835062191,1.2511066774507156,0.0,3.1645639488459274,0.0,2.7965913966545406
29,대한민국 서울특별시 강남구 도곡동 산29-18,37.48997017231633,127.0477124466984,69,11,60,22,1,3,2,도곡,도곡동,474.15568,15.80519,0.6959739174283891,0.18981106838956066,1.3919478348567782,0.06327035612985354,4.365654572959895,0.1265407122597071,3.796221367791213
30,대한민국 서울특별시 강남구 논현로 160,37.48402002057682,127.04210399026076,195,13,46,22,0,14,1,도곡,도곡동,474.15568,15.80519,0.8225146296880962,0.8857849858179497,1.3919478348567782,0.0,12.337719445321442,0.06327035612985354,2.9104363819732635
31,대한민국 서울특별시 강남구 청담동 115-2,37.527890203644006,127.04745340687944,240,10,72,27,7,4,1,청담,청담동,308.09127,10.26971,0.9737373304601591,0.3894949321840636,2.6290907922424296,0.6816161313221113,23.369695931043818,0.0973737330460159,7.010908779313145
32,대한민국 서울특별시 강남구 개포동 152,37.48782903370805,127.06621823635508,42,5,37,17,0,5,0,개포,개포동,407.63892,13.58797,0.3679725521913869,0.3679725521913869,1.2511066774507156,0.0,3.09096943840765,0.0,2.7229968862162632
