,역명,호선,도로명주소,동,위도,경도
0,삼성(무역센터),2,서울특별시 강남구 테헤란로 지하538,삼성동,37.508844,127.06316
1,선릉,2,서울특별시 강남구 테헤란로 지하340,삼성동,37.504856,127.048807
2,역삼,2,서울특별시 강남구 테헤란로 지하156,역삼동,37.500622,127.036456
3,강남,2,서울특별시 강남구 강남대로 지하396,역삼동,37.496837,127.028104
4,압구정,3,서울특별시 강남구 압구정로 지하172,신사동,37.527072,127.028461
5,신사,3,서울특별시 강남구 도산대로 지하102,신사동,37.516334,127.020114
6,매봉,3,서울특별시 강남구 남부순환로 지하2744,도곡동,37.486947,127.046769
7,도곡,3,서울특별시 강남구 남부순환로 지하2814,도곡동,37.491224,127.055186
8,대치,3,서울특별시 강남구 남부순환로 지하2952,대치동,37.494612,127.063642
9,학여울,3,서울특별시 강남구 남부순환로 지하3104,대치동,37.496663,127.070594
10,대청,3,서울특별시 강남구 일원로 지하2,일원동,37.493514,127.079532
11,일원,3,서울특별시 강남구 일원로 지하121,일원동,37.483681,127.08439
12,수서,3,서울특별시 강남구 광평로 지하270,수서동,37.487472,127.101422
13,청담,7,서울특별시 강남구 학동로 지하508,청담동,37.519365,127.05335
14,강남구청,7,서울특별시 강남구 학동로 지하346,삼성동,37.517179,127.041255
15,학동,7,서울특별시 강남구 학동로 지하180,논현동,37.514229,127.031656
16,논현,7,서울특별시 강남구 학동로 지하102,논현동,37.511093,127.021415
17,언주,9,서울특별시 강남구 봉은사로 지하201,논현동,37.507287,127.033868
18,선정릉,9,서울특별시 강남구 선릉로 지하580,삼성동,37.510297,127.043999
19,삼성중앙,9,서울특별시 강남구 봉은사로 지하501,삼성동,37.513011,127.053282
20,봉은사,9,서울특별시 강남구 봉은사로 지하601,삼성동,37.514219,127.060245
